Ref,Val,Package,PosX,PosY,Rot,Side
"C4","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",63.000000,-144.350000,0.000000,bottom
"C5","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",45.687500,-165.500000,180.000000,bottom
"C6","4u7","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",63.000000,-142.350000,0.000000,bottom
"C7","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",45.650000,-156.750000,180.000000,bottom
"C8","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",66.300000,-143.212500,90.000000,bottom
"C9","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",56.800000,-143.500000,90.000000,bottom
"C10","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",45.650000,-148.500000,180.000000,bottom
"C11","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",45.700000,-140.350000,180.000000,bottom
"C40","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",70.600000,-145.250000,0.000000,bottom
"C49","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",74.150000,-150.650000,90.000000,bottom
"C58","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",77.900000,-145.250000,0.000000,bottom
"C59","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",74.250000,-145.250000,0.000000,bottom
"D2","BAT54W","SOT-323_SC-70",63.200000,-135.850000,180.000000,bottom
"D20","ESD9B3.3ST5G","D_SOD-923",65.780000,-134.400000,180.000000,bottom
"D21","ESD9B3.3ST5G","D_SOD-923",65.777500,-133.150000,180.000000,bottom
"D22","ESD9B3.3ST5G","D_SOD-923",65.777500,-131.900000,180.000000,bottom
"D23","ESD9B3.3ST5G","D_SOD-923",65.777500,-130.650000,180.000000,bottom
"D24","ESD9B3.3ST5G","D_SOD-923",65.777500,-136.900000,180.000000,bottom
"D25","ESD9B3.3ST5G","D_SOD-923",65.777500,-135.650000,180.000000,bottom
"D26","BAT54W","SOT-323_SC-70",63.200000,-138.450000,0.000000,bottom
"D27","BAT54W","SOT-323_SC-70",63.200000,-133.200000,0.000000,bottom
"D29","BAT54W","SOT-323_SC-70",70.800000,-142.750000,90.000000,bottom
"D32","BAT54W","SOT-323_SC-70",76.500000,-150.750000,-90.000000,bottom
"D34","BAT54W","SOT-323_SC-70",78.050000,-142.800000,90.000000,bottom
"D35","BAT54W","SOT-323_SC-70",74.450000,-142.750000,90.000000,bottom
"F1","25mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",42.400000,-166.250000,90.000000,bottom
"F3","25mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",42.400000,-157.250000,90.000000,bottom
"F5","25mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",42.350000,-149.000000,90.000000,bottom
"F6","25mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",42.350000,-140.950000,90.000000,bottom
"R8","100r","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",45.687500,-167.750000,180.000000,bottom
"R9","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",59.500000,-140.900000,180.000000,bottom
"R14","100r","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",45.650000,-158.750000,180.000000,bottom
"R17","100r","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",45.650000,-150.500000,180.000000,bottom
"R20","100r","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",45.700000,-142.450000,180.000000,bottom
