"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4, C8, C9, C13, C15, C18, C21, C24, C25, C35, C39, C40, C41, C44, C48, C49, C50, C53, C57, C58, C59";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";21;"100n";;;
2;"C5, C7, C10, C11, C17, C22, C34, C43, C52";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";9;"1u";;;
3;"C6, C14, C33, C42, C51";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";5;"4u7";;;
4;"C16";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"2u2";;;
5;"C19, C37, C46, C55";"C_Radial_D6.3mm_H7.0mm_P2.50mm";4;"22u";;;
6;"C20, C29, C31, C32, C38, C47, C56";"CP_Radial_D8.0mm_P3.50mm";7;"100u";;;
7;"C23, C26, C27, C28";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"330p";;;
8;"C30, C36, C45, C54";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"DNP";;;
9;"D1";"D_SOD-123F";1;"BZT52C10";;;
10;"D2, D26, D27, D29, D32, D34, D35";"SOT-323_SC-70";7;"BAT54W";;;
11;"D3, D4, D5, D7, D8, D9, D11, D15, D20, D21, D22, D23, D24, D25";"D_SOD-923";14;"ESD9B3.3ST5G";;;
12;"D6, D10, D17, D19";"D_SMA";4;"SS14";;;
13;"D12, D13, D14, D16, D18, D31";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"LED";;;
14;"F1, F3, F5, F6";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"25mA";;;
15;"F2, F7, F8, F9";"Fuse_1206_3216Metric";4;"5A";;;
16;"F4";"FUSE_3555-2";1;"3555-2";;;
17;"J3, J4, J5, J6";"JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical";4;"Conn_01x04_Pin";;;
18;"J7, J8, J10, J11, J12";"Wire_Solder_2Pin_12-14AWG_P10mm_D3.0mm";5;"Wire_Solder_2Pin";;;
19;"J9";"Hirose_DF13-07P-1.25DSA_1x07_P1.25mm_Vertical";1;"Conn_01x07_Socket";;;
20;"L4, L5, L6, L7";"L_Changjiang_FXL0630";4;"1u";;;
21;"Q4";"DOD40P03_TO-252_Q_PMOS_DGS";1;"DOD40P03";;;
22;"Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12";"NVMFS5C468NL-HXY";8;"NVMFS5C468NL-HXY";;;
23;"R6, R7, R8, R11, R13, R14, R15, R16, R17, R18, R19, R20, R36, R37, R40, R41, R48, R49, R50, R51, R53, R54, R57, R58, R68, R69";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";26;"100r";;;
24;"R9, R27, R28, R29, R31, R34, R56, R67, R78";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";9;"1k";;;
25;"R10, R79, R80, R81, R82, R83";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";6;"DNP";;;
26;"R12, R26, R30, R35, R38, R39, R45, R46, R52, R62, R63, R65, R73, R74, R76, R84, R85, R86, R87";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";19;"10k";;;
27;"R21, R22";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"4.7k";;;
28;"R23, R42, R59, R70";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"10r";;;
29;"R24, R25, R43, R44, R60, R61, R71, R72";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";8;"4r7";;;
30;"R32, R47, R64, R75";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"500m";;;
31;"R33, R55, R66, R77";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";4;"5m";;;
32;"SW1";"SW_PUSH_6mm";1;"SW_Push";;;
33;"U1";"SOT95P280X145-5N";1;"TPS70933DBVR";;;
34;"U2";"LQFP-32_7x7mm_P0.8mm";1;"STM32G030K6Tx";;;
35;"U3, U4, U5, U6";"SOIC-8_3.9x4.9mm_P1.27mm";4;"LM5109BMA";;;
36;"U7, U10, U11, U12";"SOT-23-5";4;"INA281A3";;;
37;"U8";"TSSOP14_PW_TEX-M";1;"SN74HCS08PWR";;;
38;"U9";"TSSOP14_PW_TEX-M";1;"SN74HCS02PWR";;;
39;"Y1";"Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm";1;"HSO321S 16MHZ 3.3V";;;
