Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C20, C21, C30, C45, C46, C54, C55, C56, C57",0603,11,1u,C5254686
"C12, C15, C16, C2, C22, C25, C26, C31, C32, C34, C37, C4, C40, C47, C48, C49, C50, C51, C52, C53, C6",0603,21,100n,C14663
"C13, C17, C27, C41, C5, C7, C9",CP_Radial_D8.0mm_P3.50mm,7,100u,C171434
"C14, C24, C3, C33, C44",0603,5,4u7,C22399629
"C18, C28, C42, C8",C_Radial_D6.3mm_H7.0mm_P2.50mm,4,22u,C2691855
C23,0603,1,2u2,C48579298
"C35, C36, C38, C39",0603,4,330p,C22399617
"D1, D10, D3, D6, D7, D9",0805,6,LED,C110099
"D11, D2, D4, D8",D_SMA,4,SS14,C49861244
"D12, D13, D14, D16, D17, D19",D_SOD-923,6,ESD9B3.3ST5G,C96512
"D15, D18, D20, D21, D22, D23, D24",SOT-323_SC-70,7,BAT54W,C77328
D5,D_SOD-123F,1,BZT52C10,C571378
"F1, F2, F4, F5",1206,4,5A,C553924
F3,FUSE_3555-2,1,3555-2,C3203939
"J10, J11, J5, J6, J8, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,6,Conn_01x02_Pin,
J4,Hirose_DF13-07P-1.25DSA_1x07_P1.25mm_Vertical,1,Conn_01x07_Socket,C17565513
"L1, L2, L3, L4",L_Changjiang_FXL0630,4,1u,C167216
"Q1, Q2, Q3, Q5, Q6, Q7, Q8, Q9",NVMFS5C468NL-HXY,8,NVMFS5C468NL-HXY,C22366807
Q4,DOD40P03_TO-252_Q_PMOS_DGS,1,DOD40P03,C36499177
"R1, R10, R11, R13, R20, R21, R23, R24, R25, R27, R3, R33, R34, R36, R37, R38, R44, R49, R51, R68, R69, R72, R73, R79, R80",0603,25,10k,C98220
"R12, R19, R2, R22, R32, R35, R50, R9",0603,8,4r7,C137705
"R14, R26, R39, R4",0603,4,10r,C109318
"R15, R28, R42, R5",1210,4,5m,C7419996
"R16, R18, R29, R31, R43, R47, R6, R61, R62, R63, R64, R65, R66, R8",0603,14,100r,C105588
"R17, R30, R45, R7",0805,4,500m,C327217
"R40, R41, R46, R48, R58, R59, R60, R67, R70, R71, R74, R75, R76, R77, R78",0603,15,1k,C22548
SW1,SW_PUSH_6mm,1,SW_Push,C318884
"TP10, TP11, TP12, TP13, TP9",TestPoint_Pad_1.0x1.0mm,5,TestPoint,
"U1, U3, U5, U8",SOT-23-5,4,INA281A3,C1517407
"U10, U2, U4, U7",SOIC-8_3.9x4.9mm_P1.27mm,4,LM5109BMA,C116862
U11,TSSOP14_PW_TEX-M,1,SN74HCS08PWR,C2868022
U12,LQFP-32_7x7mm_P0.8mm,1,STM32G030K6Tx,C529331
U6,SOT95P280X145-5N,1,TPS70933DBVR,C89347
U9,TSSOP14_PW_TEX-M,1,SN74HCS02PWR,C2868020
Y1,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,1,HSO321S 16MHZ 3.3V,C160456
