Designator,Mid X,Mid Y,Rotation,Layer
C1,106.65,-73.45,0.0,top
C11,105.0,-95.5,0.0,top
C12,119.2,-98.0,90.0,top
C13,66.502651,-101.6,180.0,top
C14,83.4,-104.735,90.0,top
C15,85.3,-104.735,90.0,top
C16,97.05,-107.35,270.0,top
C17,114.752651,-113.3,180.0,top
C18,125.75,-114.8,0.0,top
C2,119.25,-74.35,90.0,top
C20,105.0,-120.85,0.0,top
C21,57.6,-121.4,180.0,top
C22,119.2,-123.425,90.0,top
C23,57.5,-129.9,180.0,top
C24,83.4,-130.16,90.0,top
C25,85.3,-130.16,90.0,top
C26,97.05,-132.775,270.0,top
C27,114.752651,-138.725,180.0,top
C28,125.75,-140.225,0.0,top
C3,83.45,-81.085,90.0,top
C30,104.9,-146.55,0.0,top
C31,119.1,-149.1,90.0,top
C32,70.35,-153.25,180.0,top
C33,83.3,-155.835,90.0,top
C34,85.2,-155.835,90.0,top
C35,61.6,-156.75,180.0,top
C36,75.4,-156.9,0.0,top
C37,96.95,-158.45,270.0,top
C38,75.295,-160.8625,270.0,top
C39,64.1,-162.3,270.0,top
C4,85.35,-81.085,90.0,top
C40,72.25,-163.0,0.0,top
C41,114.652651,-164.4,180.0,top
C42,125.65,-165.9,0.0,top
C44,63.0,-142.35,180.0,bottom
C45,53.7,-142.6,90.0,bottom
C46,43.1,-142.6,90.0,bottom
C47,66.3,-143.2125,90.0,bottom
C48,56.8,-143.5,90.0,bottom
C49,63.0,-144.35,180.0,bottom
C5,66.502651,-81.2,180.0,top
C50,77.9,-145.25,180.0,bottom
C51,74.25,-145.25,180.0,bottom
C52,70.6,-145.25,180.0,bottom
C53,74.15,-150.65,90.0,bottom
C54,44.2,-151.0,0.0,bottom
C55,51.1,-152.0,180.0,bottom
C56,44.2,-152.7,0.0,bottom
C57,53.95,-153.5,90.0,bottom
C6,97.1,-83.7,270.0,top
C7,114.802651,-89.65,180.0,top
C8,125.8,-91.15,0.0,top
C9,66.502651,-91.2,180.0,top
D1,129.35,-74.45,180.0,top
D10,129.2,-149.2,180.0,top
D11,94.5,-154.4,180.0,top
D12,65.7775,-130.65,0.0,bottom
D13,65.7775,-131.9,0.0,bottom
D14,65.7775,-133.15,0.0,bottom
D15,63.2,-133.2,180.0,bottom
D16,65.78,-134.4,0.0,bottom
D17,65.7775,-135.65,0.0,bottom
D18,63.2,-135.85,0.0,bottom
D19,65.7775,-136.9,0.0,bottom
D2,94.65,-79.65,180.0,top
D20,63.2,-138.45,180.0,bottom
D21,74.45,-142.75,90.0,bottom
D22,70.8,-142.75,90.0,bottom
D23,78.05,-142.8,90.0,bottom
D24,76.5,-150.75,270.0,bottom
D3,129.3,-98.1,180.0,top
D4,94.6,-103.3,180.0,top
D5,52.75,-121.4,180.0,top
D6,129.3,-123.525,180.0,top
D7,62.5,-124.5,180.0,top
D8,94.6,-128.725,180.0,top
D9,62.525,-131.5,180.0,top
F1,101.549962,-73.75,0.0,top
F2,101.499962,-97.4,0.0,top
F3,46.0,-102.495,270.0,top
F4,101.499962,-122.825,0.0,top
F5,101.399962,-148.5,0.0,top
J10,43.9,-158.425,180.0,top
J11,52.7,-158.425,180.0,top
J4,68.15,-133.15,270.0,top
J5,52.7,-139.125,180.0,top
J6,43.9,-139.15,180.0,top
J8,43.9,-148.65,180.0,top
J9,52.65,-148.65,180.0,top
L1,115.425,-80.75,0.0,top
L2,115.375,-104.4,0.0,top
L3,115.375,-129.825,0.0,top
L4,115.275,-155.5,0.0,top
Q1,101.914962,-79.525,90.0,top
Q2,102.184962,-88.55,90.0,top
Q3,101.864962,-103.175,90.0,top
Q4,55.0,-109.4,0.0,top
Q5,102.134962,-112.2,90.0,top
Q6,101.864962,-128.6,90.0,top
Q7,102.134962,-137.625,90.0,top
Q8,101.764962,-154.275,90.0,top
Q9,102.034962,-163.3,90.0,top
R1,129.35,-72.65,0.0,top
R10,109.45,-89.25,270.0,top
R11,133.65,-98.1,180.0,top
R12,106.499962,-98.4,270.0,top
R13,106.499962,-102.4,270.0,top
R14,88.675,-103.335,0.0,top
R15,123.325,-104.4,0.0,top
R16,83.4,-108.65,90.0,top
R17,120.9,-109.6,0.0,top
R18,85.25,-109.95,90.0,top
R19,107.55,-112.9,270.0,top
R2,107.95,-75.2,180.0,top
R20,109.4,-112.9,270.0,top
R21,133.65,-123.525,180.0,top
R22,106.499962,-123.825,270.0,top
R23,52.25,-124.25,180.0,top
R24,62.5875,-127.0,0.0,top
R25,106.499962,-127.825,270.0,top
R26,88.675,-128.76,0.0,top
R27,62.5875,-129.0,0.0,top
R28,123.325,-129.825,0.0,top
R29,83.4,-134.075,90.0,top
R3,106.549962,-78.75,270.0,top
R30,120.9,-135.025,0.0,top
R31,85.25,-135.375,90.0,top
R32,107.55,-138.325,270.0,top
R33,109.4,-138.325,270.0,top
R34,133.55,-149.2,180.0,top
R35,106.399962,-149.5,270.0,top
R36,61.55,-152.9,180.0,top
R37,75.4,-153.2,0.0,top
R38,106.399962,-153.5,270.0,top
R39,88.575,-154.435,0.0,top
R4,88.725,-79.685,0.0,top
R40,61.55,-154.6,180.0,top
R41,75.4,-155.1,0.0,top
R42,123.225,-155.5,0.0,top
R43,83.3,-159.75,90.0,top
R44,60.3,-160.45,90.0,top
R45,120.8,-160.7,0.0,top
R46,77.7,-160.85,90.0,top
R47,85.15,-161.05,90.0,top
R48,62.2,-162.3,90.0,top
R49,76.45,-163.6,180.0,top
R5,123.375,-80.75,0.0,top
R50,107.45,-164.0,270.0,top
R51,109.3,-164.0,270.0,top
R58,121.4,-73.65,0.0,bottom
R59,121.35,-97.3,0.0,bottom
R6,83.45,-85.0,90.0,top
R60,121.35,-122.725,0.0,bottom
R61,59.5,-129.05,180.0,bottom
R62,59.5,-130.95,180.0,bottom
R63,59.5,-132.85,180.0,bottom
R64,59.4875,-134.7,180.0,bottom
R65,59.5,-136.55,180.0,bottom
R66,59.5,-138.45,180.0,bottom
R67,59.5,-140.9,0.0,bottom
R7,120.95,-85.95,0.0,top
R70,51.0,-143.45,180.0,bottom
R71,46.0375,-143.45,0.0,bottom
R74,49.45,-147.0,270.0,bottom
R75,47.4,-147.0,270.0,bottom
R76,121.25,-148.4,0.0,bottom
R77,51.15,-154.375,180.0,bottom
R78,44.2,-154.425,180.0,bottom
R8,85.3,-86.3,90.0,top
R9,107.6,-89.25,270.0,top
SW1,44.9,-130.05,180.0,top
TP10,62.05,-161.15,0.0,bottom
TP11,66.2,-144.15,0.0,top
TP12,56.25,-143.65,0.0,top
TP13,54.15,-152.75,0.0,top
TP9,57.05,-147.1,0.0,bottom
U1,123.45,-76.25,180.0,top
U10,90.5,-159.4,270.0,top
U11,68.35,-167.25,0.0,top
U12,63.0,-151.85,180.0,bottom
U2,90.65,-84.65,270.0,top
U3,123.4,-99.9,180.0,top
U4,90.6,-108.3,270.0,top
U5,123.4,-125.325,180.0,top
U6,57.5,-125.9,270.0,top
U7,90.6,-133.725,270.0,top
U8,123.3,-151.0,180.0,top
U9,68.35,-157.5,0.0,top
Y1,59.425,-143.625,0.0,bottom
