Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C17, C22, C34, C43, C5, C52, C7",0603,9,1u,C5254686
"C13, C15, C18, C21, C24, C25, C35, C39, C4, C40, C41, C44, C48, C49, C50, C53, C57, C58, C59, C8, C9",0603,21,100n,C14663
"C14, C33, C42, C51, C6",0603,5,4u7,C22399629
C16,0603,1,2u2,C48579298
"C19, C37, C46, C55",C_Radial_D6.3mm_H7.0mm_P2.50mm,4,22u,C2691855
"C20, C29, C31, C32, C38, C47, C56",CP_Radial_D8.0mm_P3.50mm,7,100u,C171434
"C23, C26, C27, C28",0603,4,330p,C22399617
"C30, C36, C45, C54, R10, R79, R80, R81, R82, R83",0603,10,DNP,
D1,D_SOD-123F,1,BZT52C10,C571378
"D10, D17, D19, D6",D_SMA,4,SS14,C49861244
"D11, D15, D20, D21, D22, D23, D24, D25, D3, D4, D5, D7, D8, D9",D_SOD-923,14,ESD9B3.3ST5G,C96512
"D12, D13, D14, D16, D18, D31",0805,6,LED,C110099
"D2, D26, D27, D29, D32, D34, D35",SOT-323_SC-70,7,BAT54W,C77328
"F1, F3, F5, F6",1206,4,25mA,
"F2, F7, F8, F9",1206,4,5A,C553924
F4,FUSE_3555-2,1,3555-2,C3203939
"J10, J11, J12, J7, J8",Wire_Solder_2Pin_12-14AWG_P10mm_D3.0mm,5,Wire_Solder_2Pin,
"J3, J4, J5, J6",JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,4,Conn_01x04_Pin,C20089142
J9,Hirose_DF13-07P-1.25DSA_1x07_P1.25mm_Vertical,1,Conn_01x07_Socket,C17565513
"L4, L5, L6, L7",L_Changjiang_FXL0630,4,1u,C167216
"Q10, Q11, Q12, Q5, Q6, Q7, Q8, Q9",NVMFS5C468NL-HXY,8,NVMFS5C468NL-HXY,C22366807
Q4,DOD40P03_TO-252_Q_PMOS_DGS,1,DOD40P03,C36499177
"R11, R13, R14, R15, R16, R17, R18, R19, R20, R36, R37, R40, R41, R48, R49, R50, R51, R53, R54, R57, R58, R6, R68, R69, R7, R8",0603,26,100r,C105588
"R12, R26, R30, R35, R38, R39, R45, R46, R52, R62, R63, R65, R73, R74, R76, R84, R85, R86, R87",0603,19,10k,C98220
"R21, R22",0603,2,4.7k,C99782
"R23, R42, R59, R70",0603,4,10r,C109318
"R24, R25, R43, R44, R60, R61, R71, R72",0603,8,4r7,C137705
"R27, R28, R29, R31, R34, R56, R67, R78, R9",0603,9,1k,C22548
"R32, R47, R64, R75",0805,4,500m,C327217
"R33, R55, R66, R77",1210,4,5m,C7419996
SW1,SW_PUSH_6mm,1,SW_Push,C318884
U1,SOT95P280X145-5N,1,TPS70933DBVR,C89347
"U10, U11, U12, U7",SOT-23-5,4,INA281A3,C1517407
U2,LQFP-32_7x7mm_P0.8mm,1,STM32G030K6Tx,C529331
"U3, U4, U5, U6",SOIC-8_3.9x4.9mm_P1.27mm,4,LM5109BMA,C116862
U8,TSSOP14_PW_TEX-M,1,SN74HCS08PWR,C2868022
U9,TSSOP14_PW_TEX-M,1,SN74HCS02PWR,C2868020
Y1,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,1,HSO321S 16MHZ 3.3V,C160456
